query_id	0	chunk_id	relevance
Q-0001	0	CASE-700456	2
Q-0001	0	CASE-500786	1
Q-0001	0	CASE-700524	2
Q-0001	0	CASE-701246	2
Q-0001	0	CASE-700877	1
Q-0001	0	CASE-700597	2
Q-0001	0	CASE-701005	2
Q-0001	0	CASE-700772	2
Q-0001	0	CASE-701272	2
Q-0001	0	CASE-700545	1
Q-0001	0	CASE-500516	2
Q-0001	0	CASE-700728	2
Q-0001	0	CASE-701054	2
Q-0001	0	CASE-700620	2
Q-0002	0	CASE-001689	2
Q-0002	0	CASE-002298	2
Q-0002	0	CASE-001694	1
Q-0002	0	CASE-002123	1
Q-0002	0	CASE-001589	2
Q-0002	0	CASE-002377	2
Q-0002	0	CASE-002494	2
Q-0002	0	CASE-002499	2
Q-0002	0	CASE-001951	2
Q-0002	0	CASE-001844	2
Q-0002	0	CASE-001611	2
Q-0002	0	CASE-001920	2
Q-0002	0	CASE-001673	2
Q-0003	0	CASE-300597	1
Q-0003	0	CASE-300536	1
Q-0003	0	CASE-301565	2
Q-0003	0	CASE-300041	0
Q-0003	0	CASE-301280	0
Q-0003	0	CASE-301994	0
Q-0003	0	CASE-301340	0
Q-0003	0	CASE-301616	1
Q-0003	0	CASE-300728	1
Q-0003	0	CASE-301597	1
Q-0003	0	CASE-301414	1
Q-0003	0	CASE-300636	1
Q-0003	0	CASE-301817	1
Q-0003	0	CASE-300248	1
Q-0003	0	CASE-700201	0
Q-0003	0	CASE-700202	1
Q-0003	0	CASE-300335	0
Q-0004	0	CASE-800747	0
Q-0004	0	CASE-800750	1
Q-0004	0	CASE-800050	1
Q-0004	0	CASE-800580	1
Q-0004	0	CASE-001243	1
Q-0004	0	CASE-800744	1
Q-0004	0	CASE-001361	1
Q-0004	0	CASE-800708	0
Q-0004	0	CASE-800655	0
Q-0004	0	CASE-600106	0
Q-0004	0	CASE-800006	0
Q-0004	0	CASE-800665	0
Q-0004	0	CASE-800842	0
Q-0004	0	CASE-800685	1
Q-0004	0	CASE-800745	0
Q-0004	0	CASE-001525	1
Q-0004	0	CASE-001347	0
Q-0005	0	CASE-80245	2
Q-0005	0	CASE-80123	0
Q-0005	0	CASE-80446	0
Q-0005	0	CASE-80189	1
Q-0005	0	CASE-80256	2
Q-0005	0	CASE-800191	1
Q-0005	0	CASE-80405	2
Q-0005	0	CASE-800375	2
Q-0005	0	CASE-800838	2
Q-0005	0	CASE-80412	2
Q-0005	0	CASE-001443	2
Q-0005	0	CASE-800739	2
Q-0005	0	CASE-001453	2
Q-0005	0	CASE-800564	1
Q-0005	0	CASE-001282	1
Q-0005	0	CASE-001460	2
Q-0005	0	CASE-80436	2
Q-0006	0	CASE-500773	2
Q-0006	0	CASE-501239	2
Q-0006	0	CASE-500920	2
Q-0006	0	CASE-501042	2
Q-0006	0	CASE-500108	2
Q-0006	0	CASE-501181	2
Q-0006	0	CASE-501112	2
Q-0006	0	CASE-500989	2
Q-0006	0	CASE-501267	1
Q-0006	0	CASE-500158	2
Q-0006	0	CASE-501286	2
Q-0006	0	CASE-501154	2
Q-0007	0	CASE-700893	2
Q-0007	0	CASE-700460	2
Q-0007	0	CASE-700751	2
Q-0007	0	CASE-701017	2
Q-0007	0	CASE-700409	2
Q-0007	0	CASE-700645	2
Q-0007	0	CASE-700369	2
Q-0007	0	CASE-700717	2
Q-0007	0	CASE-701104	2
Q-0007	0	CASE-701278	2
Q-0007	0	CASE-700845	2
Q-0007	0	CASE-701237	2
Q-0007	0	CASE-700848	2
Q-0007	0	CASE-700501	1
Q-0007	0	CASE-700948	2
Q-0007	0	CASE-700856	2
Q-0008	0	CASE-001738	2
Q-0008	0	CASE-001743	2
Q-0008	0	CASE-001808	2
Q-0008	0	CASE-001865	2
Q-0008	0	CASE-002123	2
Q-0008	0	CASE-001588	2
Q-0008	0	CASE-001540	2
Q-0008	0	CASE-002134	2
Q-0008	0	CASE-001832	2
Q-0008	0	CASE-002324	2
Q-0008	0	CASE-001611	2
Q-0008	0	CASE-001847	2
Q-0008	0	CASE-002452	2
Q-0009	0	CASE-301007	1
Q-0009	0	CASE-301766	0
Q-0009	0	CASE-20032	1
Q-0009	0	CASE-301846	1
Q-0009	0	CASE-301386	0
Q-0009	0	CASE-301030	1
Q-0009	0	CASE-301331	1
Q-0009	0	CASE-300546	2
Q-0009	0	CASE-300208	1
Q-0009	0	CASE-002312	1
Q-0009	0	CASE-301929	1
Q-0009	0	CASE-300096	1
Q-0009	0	CASE-300842	1
Q-0009	0	CASE-300508	1
Q-0009	0	CASE-301477	1
Q-0009	0	CASE-301206	0
Q-0009	0	CASE-300737	1
Q-0009	0	CASE-300139	1
Q-0010	0	CASE-80053	1
Q-0010	0	CASE-800289	2
Q-0010	0	CASE-800532	2
Q-0010	0	CASE-800425	2
Q-0010	0	CASE-800195	2
Q-0010	0	CASE-000252	1
Q-0010	0	CASE-80412	2
Q-0010	0	CASE-001212	1
Q-0010	0	CASE-80165	1
Q-0010	0	CASE-80166	2
Q-0010	0	CASE-800739	2
Q-0010	0	CASE-800564	1
Q-0010	0	CASE-20014	1
Q-0010	0	CASE-001401	2
Q-0010	0	CASE-001460	2
Q-0010	0	CASE-20078	1
Q-0011	0	CASE-000288	1
Q-0011	0	CASE-80256	2
Q-0011	0	CASE-000759	2
Q-0011	0	CASE-800195	2
Q-0011	0	CASE-80405	2
Q-0011	0	CASE-000119	2
Q-0011	0	CASE-800375	1
Q-0011	0	CASE-80412	2
Q-0011	0	CASE-001777	1
Q-0011	0	CASE-001443	2
Q-0011	0	CASE-800380	2
Q-0011	0	CASE-800322	2
Q-0011	0	CASE-001018	1
Q-0011	0	CASE-800739	2
Q-0011	0	CASE-30007	1
Q-0012	0	CASE-001465	2
Q-0012	0	CASE-600315	0
Q-0012	0	CASE-600316	0
Q-0012	0	CASE-500287	1
Q-0012	0	CASE-800587	1
Q-0012	0	CASE-500108	1
Q-0012	0	CASE-501117	1
Q-0012	0	CASE-501324	1
Q-0012	0	CASE-500589	1
Q-0012	0	CASE-501328	2
Q-0012	0	CASE-500193	1
Q-0012	0	CASE-500262	1
Q-0012	0	CASE-500899	1
Q-0012	0	CASE-501292	1
Q-0013	0	CASE-700963	1
Q-0013	0	CASE-700409	2
Q-0013	0	CASE-700480	1
Q-0013	0	CASE-700369	2
Q-0013	0	CASE-701101	1
Q-0013	0	CASE-701278	2
Q-0013	0	CASE-700938	2
Q-0013	0	CASE-701104	2
Q-0013	0	CASE-700495	2
Q-0013	0	CASE-700844	2
Q-0013	0	CASE-700845	1
Q-0013	0	CASE-701237	2
Q-0013	0	CASE-700948	2
Q-0013	0	CASE-700891	2
Q-0014	0	CASE-002049	2
Q-0014	0	CASE-001814	1
Q-0014	0	CASE-002304	2
Q-0014	0	CASE-002247	2
Q-0014	0	CASE-001647	2
Q-0014	0	CASE-001648	2
Q-0014	0	CASE-001896	1
Q-0014	0	CASE-002139	2
Q-0014	0	CASE-001904	2
Q-0014	0	CASE-001660	2
Q-0014	0	CASE-001608	2
Q-0014	0	CASE-001536	2
