query_id	0	chunk_id	relevance
Q-0001	0	CASE-700456	1
Q-0001	0	CASE-500786	1
Q-0001	0	CASE-700524	1
Q-0001	0	CASE-701246	1
Q-0001	0	CASE-700877	1
Q-0001	0	CASE-700597	1
Q-0001	0	CASE-701005	1
Q-0001	0	CASE-700772	1
Q-0001	0	CASE-701272	1
Q-0001	0	CASE-700545	0
Q-0001	0	CASE-500516	1
Q-0001	0	CASE-700728	1
Q-0001	0	CASE-701054	1
Q-0001	0	CASE-700620	1
Q-0002	0	CASE-001689	1
Q-0002	0	CASE-002298	1
Q-0002	0	CASE-001694	1
Q-0002	0	CASE-002123	0
Q-0002	0	CASE-001589	1
Q-0002	0	CASE-002377	1
Q-0002	0	CASE-002494	1
Q-0002	0	CASE-002499	1
Q-0002	0	CASE-001951	1
Q-0002	0	CASE-001844	1
Q-0002	0	CASE-001611	1
Q-0002	0	CASE-001920	1
Q-0002	0	CASE-001673	1
Q-0003	0	CASE-300597	0
Q-0003	0	CASE-300536	0
Q-0003	0	CASE-301565	1
Q-0003	0	CASE-300041	0
Q-0003	0	CASE-301280	0
Q-0003	0	CASE-301994	0
Q-0003	0	CASE-301340	0
Q-0003	0	CASE-301616	0
Q-0003	0	CASE-300728	0
Q-0003	0	CASE-301597	1
Q-0003	0	CASE-301414	0
Q-0003	0	CASE-300636	0
Q-0003	0	CASE-301817	0
Q-0003	0	CASE-300248	0
Q-0003	0	CASE-700201	0
Q-0003	0	CASE-700202	0
Q-0003	0	CASE-300335	0
Q-0004	0	CASE-800747	0
Q-0004	0	CASE-800750	0
Q-0004	0	CASE-800050	0
Q-0004	0	CASE-800580	0
Q-0004	0	CASE-001243	0
Q-0004	0	CASE-800744	0
Q-0004	0	CASE-001361	1
Q-0004	0	CASE-800708	0
Q-0004	0	CASE-800655	0
Q-0004	0	CASE-600106	0
Q-0004	0	CASE-800006	0
Q-0004	0	CASE-800665	0
Q-0004	0	CASE-800842	0
Q-0004	0	CASE-800685	0
Q-0004	0	CASE-800745	0
Q-0004	0	CASE-001525	0
Q-0004	0	CASE-001347	0
Q-0005	0	CASE-80245	1
Q-0005	0	CASE-80123	0
Q-0005	0	CASE-80446	0
Q-0005	0	CASE-80189	0
Q-0005	0	CASE-80256	1
Q-0005	0	CASE-800191	1
Q-0005	0	CASE-80405	1
Q-0005	0	CASE-800375	1
Q-0005	0	CASE-800838	1
Q-0005	0	CASE-80412	1
Q-0005	0	CASE-001443	1
Q-0005	0	CASE-800739	1
Q-0005	0	CASE-001453	1
Q-0005	0	CASE-800564	1
Q-0005	0	CASE-001282	0
Q-0005	0	CASE-001460	1
Q-0005	0	CASE-80436	1
Q-0006	0	CASE-500773	1
Q-0006	0	CASE-501239	1
Q-0006	0	CASE-500920	1
Q-0006	0	CASE-501042	1
Q-0006	0	CASE-500108	1
Q-0006	0	CASE-501181	1
Q-0006	0	CASE-501112	1
Q-0006	0	CASE-500989	1
Q-0006	0	CASE-501267	1
Q-0006	0	CASE-500158	1
Q-0006	0	CASE-501286	1
Q-0006	0	CASE-501154	1
Q-0007	0	CASE-700893	1
Q-0007	0	CASE-700460	1
Q-0007	0	CASE-700751	1
Q-0007	0	CASE-701017	1
Q-0007	0	CASE-700409	2
Q-0007	0	CASE-700645	1
Q-0007	0	CASE-700369	1
Q-0007	0	CASE-700717	1
Q-0007	0	CASE-701104	1
Q-0007	0	CASE-701278	1
Q-0007	0	CASE-700845	1
Q-0007	0	CASE-701237	1
Q-0007	0	CASE-700848	1
Q-0007	0	CASE-700501	0
Q-0007	0	CASE-700948	2
Q-0007	0	CASE-700856	1
Q-0008	0	CASE-001738	1
Q-0008	0	CASE-001743	1
Q-0008	0	CASE-001808	1
Q-0008	0	CASE-001865	1
Q-0008	0	CASE-002123	1
Q-0008	0	CASE-001588	1
Q-0008	0	CASE-001540	1
Q-0008	0	CASE-002134	1
Q-0008	0	CASE-001832	1
Q-0008	0	CASE-002324	1
Q-0008	0	CASE-001611	1
Q-0008	0	CASE-001847	1
Q-0008	0	CASE-002452	1
Q-0009	0	CASE-301007	0
Q-0009	0	CASE-301766	0
Q-0009	0	CASE-20032	1
Q-0009	0	CASE-301846	0
Q-0009	0	CASE-301386	0
Q-0009	0	CASE-301030	1
Q-0009	0	CASE-301331	0
Q-0009	0	CASE-300546	1
Q-0009	0	CASE-300208	0
Q-0009	0	CASE-002312	0
Q-0009	0	CASE-301929	0
Q-0009	0	CASE-300096	0
Q-0009	0	CASE-300842	1
Q-0009	0	CASE-300508	0
Q-0009	0	CASE-301477	0
Q-0009	0	CASE-301206	0
Q-0009	0	CASE-300737	0
