query_id,chunk_id,original_score,query_text,chunk_text,ex35_score,ex35_reason,gem3_score,gem3_reason,ax4_score,ax4_reason,final_score,max_diff,is_conflict,agree_original
Q-0001,CASE-700456,1,"1년 미만 근로자가 권고사직을 받고 잔존 연차에 대한 지급 제안을 받았으나, 휴가 지급이 이루어지지 않았습니다.
잔존 연차 휴가를 지급받지 못함으로써 금전적 손실과 법적 권리 침해를 경험하고 있습니다.
잔존 연차 미사용 수당의 지급을 요구합니다.
상시 근로자 5인 이상 사업장에서 근로기준법에 따라 1년 미만 근로자도 개근 시 연차휴가가 발생하며, 이에 대한","병원에서 내년 연차를 지급하지 않고 있으며, 입사 당해 연차 발생 여부와 상관없이 다음 해 연차를 사용했다는 이유로 지급을 거부하고 있음.
현재 내년 연차 지급이 이루어지지 않아 민원인은 연차 휴가를 사용할 수 없는 상황에 처해 있음.
내년 연차 휴가를 정상적으로 지급해 줄 것을 요청함.
민원인의 입사 연도와 정확한 출근 기록에 따라 연차 휴가 발생 기준이",1,"같은 분야(근로자 연차 휴가 관련)이나, 기준 민원은 권고사직 후 잔존 연차 지급 문제에 초점을 맞추고 있는 반면, 과거 민원은 입사 연도에 따른 연차 발생 기준에 더 집중하고 있어 직접적인 인용은 어렵지만 방향성을 제공함.",2,"두 민원 모두 연차 미지급 문제를 다루고 있으며, 1년 미만 근로자의 연차 발생 및 지급과 관련된 쟁점을 공유합니다. 다만, Chunk는 '내년 연차'에 대한 내용이 있어 Query와 완전히 일치하지 않아 2점으로 평가합니다.",2,"쟁점과 법령이 일치하지만 세부 상황이 약간 다름. 기준 근로 기간이 1년 미만 vs 1년 이상이며, 지급 거부 이유가 '사용하지 않음' vs '지급되지 않음'으로 차이가 있음.",2,1,False,False
Q-0001,CASE-500786,1,"1년 미만 근로자가 권고사직을 받고 잔존 연차에 대한 지급 제안을 받았으나, 휴가 지급이 이루어지지 않았습니다.
잔존 연차 휴가를 지급받지 못함으로써 금전적 손실과 법적 권리 침해를 경험하고 있습니다.
잔존 연차 미사용 수당의 지급을 요구합니다.
상시 근로자 5인 이상 사업장에서 근로기준법에 따라 1년 미만 근로자도 개근 시 연차휴가가 발생하며, 이에 대한","입사 후 월차 휴가 정책에 대한 오해와 실제 근로기준법에 따른 연차 휴가 발생 정책의 차이를 경험함
2018년 입사 후 월차 휴가를 모두 사용하였으나, 회계연도 기준으로 계산 시 2019년에 사용 가능한 연차 일수에 대한 불명확성
2019년도에 사용 가능한 정확한 연차 일수 확인
근로기준법 변경사항과 회사의 회계연도 기준 연차 부여 정책 간의 차이로 인한 ",1,"같은 분야(근로자 연차 휴가 관련)이나, 세부 상황이 다르고 과거 민원은 주로 연차 일수 계산과 이월 정책에 초점을 맞추고 있어 직접적인 인용은 어렵습니다.",1,"Query는 1년 미만 근로자의 잔존 연차 미지급 문제를 다루고 있지만, Chunk는 월차 휴가 정책 오해 및 연차 일수 불명확성 문제를 다루고 있어 직접적인 관련성이 낮습니다. 다만, 연차 휴가와 관련된 내용이라는 점에서 방향성은 참고할 수 있습니다.",2,"쟁점(연차휴가 미지급) 및 법령(근로기준법)은 일치하지만, 세부 상황(1년 미만 근로자 vs. 월차 휴가)이 약간 다름. 수정 후 활용 가능.",1,1,False,True
Q-0001,CASE-700524,2,"1년 미만 근로자가 권고사직을 받고 잔존 연차에 대한 지급 제안을 받았으나, 휴가 지급이 이루어지지 않았습니다.
잔존 연차 휴가를 지급받지 못함으로써 금전적 손실과 법적 권리 침해를 경험하고 있습니다.
잔존 연차 미사용 수당의 지급을 요구합니다.
상시 근로자 5인 이상 사업장에서 근로기준법에 따라 1년 미만 근로자도 개근 시 연차휴가가 발생하며, 이에 대한","1년 미만 근로자의 연차 발생 조건과 사용 가능 여부에 대한 문의
1년 미만 근로자가 80% 출근하여 발생한 연차의 즉시 사용 가능 여부와 총 사용 가능 연차 일수에 대한 확인
상시 근로자 5인 이상 사업장에서의 연차유급휴가 발생 기준 및 퇴사 시 미사용 연차 수당 지급에 대한 법적 해석",2,"핵심 쟁점인 '1년 미만 근로자의 연차 미사용 수당 지급 문제'와 법령 카테고리('근로기준법')가 일치하지만, 세부 상황(즉시 사용 가능 여부와 퇴사 시 지급 방식)이 약간 다릅니다. 따라서 수정 후 활용 가능합니다.",2,"Query와 Chunk 모두 1년 미만 근로자의 연차 발생 조건 및 미사용 수당 지급에 대한 내용을 다루고 있어 핵심 쟁점과 법령 카테고리가 동일합니다. 다만, Query는 권고사직 후 잔존 연차 지급 문제에 대한 구체적인 상황을 제시하고 있어 Chunk의 일반적인 법",3,"기준 민원과 과거 민원은 모두 1년 미만 근로자의 연차휴가와 관련된 문제를 다루고 있으며, 근로기준법에 따른 연차 발생 조건과 미사용 수당의 지급에 관한 내용이 일치합니다. 따라서 해당 Chunk는 Query 답변 작성에 완벽하게 활용될 수 있습니다.",2,1,False,True
Q-0001,CASE-701246,2,"1년 미만 근로자가 권고사직을 받고 잔존 연차에 대한 지급 제안을 받았으나, 휴가 지급이 이루어지지 않았습니다.
잔존 연차 휴가를 지급받지 못함으로써 금전적 손실과 법적 권리 침해를 경험하고 있습니다.
잔존 연차 미사용 수당의 지급을 요구합니다.
상시 근로자 5인 이상 사업장에서 근로기준법에 따라 1년 미만 근로자도 개근 시 연차휴가가 발생하며, 이에 대한","만 1년 기간제 근로자로서 연차 사용 가능 일수에 대한 불명확성
26일의 연차 중 일부는 미사용 상태로 퇴사 시 연차수당 지급 필요성
정확한 연차 사용 일수 규정 및 미사용 연차에 대한 연차수당 지급 방법 명확히 안내
근로기준법 및 관련 행정 해석에 따른 연차휴가 및 미사용 연차수당 지급 규정에 대한 이해 필요",2,"핵심 쟁점인 연차 미사용 수당 지급 필요성과 관련 법령(근로기준법)이 일치하지만, Query에서 언급된 권고사직 상황과 과거 민원의 기간제 근로자 퇴사 상황 사이에 세부적인 차이가 있어 수정 후 활용 가능합니다.",2,"Query와 Chunk 모두 1년 미만 근로자의 잔존 연차 사용 및 수당 지급에 대한 내용으로 핵심 쟁점과 법령 카테고리가 동일합니다. 다만, Query는 권고사직 상황을 구체적으로 언급하고 있어 Chunk의 일반적인 상황 설명과 약간의 차이가 있습니다.",2,"Query와 Chunk는 모두 근로기준법에 따른 연차휴가와 미사용 연차수당 지급에 관한 문제를 다루고 있습니다. Query는 1년 미만 근로자의 잔존 연차에 대한 지급을 요구하고 있으며, Chunk는 1년 기간제 근로자의 미사용 연차수당에 대해 언급하고 있어 쟁점과 법",2,0,False,True
Q-0001,CASE-700877,1,"1년 미만 근로자가 권고사직을 받고 잔존 연차에 대한 지급 제안을 받았으나, 휴가 지급이 이루어지지 않았습니다.
잔존 연차 휴가를 지급받지 못함으로써 금전적 손실과 법적 권리 침해를 경험하고 있습니다.
잔존 연차 미사용 수당의 지급을 요구합니다.
상시 근로자 5인 이상 사업장에서 근로기준법에 따라 1년 미만 근로자도 개근 시 연차휴가가 발생하며, 이에 대한","회사에서 직원들에게 강제로 연차를 사용하게 함으로써 원하는 시기에 연차를 사용할 수 없음.
강제로 사용한 연차에 대해 원하는 시기에 사용하지 못하고 있으며, 이로 인한 구체적인 피해 내용은 명시되지 않음.
강제로 사용한 연차수당의 70% 지급 여부 확인 요청
상시 근로자 수 5인 이상 사업장에서 경영 악화 등의 이유로 연차 사용을 강제할 수 없으며, 이 경",1,"같은 분야(근로자 연차휴가 관련)이나, Query의 핵심인 '잔존 연차 미사용 수당 지급 미이행'과 과거 민원의 '강제 연차 사용 및 수당 지급 요청'은 세부 상황이 다르며 직접적인 인용은 어렵습니다. 방향성은 참고 가능합니다.",1,"Query는 1년 미만 근로자의 잔존 연차 미사용 수당 지급 문제에 대한 내용이고, Chunk는 연차 강제 사용 및 휴업수당 지급에 대한 내용으로, 관련 분야는 같지만 핵심 쟁점이 다릅니다. 따라서 방향성만 참고할 수 있는 1점으로 평가합니다.",1,"두 민원은 모두 근로기준법과 관련된 연차휴가 및 수당 문제에 대해 다루고 있습니다. 그러나 첫 번째 민원은 잔존 연차의 미지급에 대한 금전적 손실과 법적 권리 침해를 강조하고 있으며, 두 번째 민원은 강제로 사용된 연차에 대한 수당 지급 문제를 다루고 있어 세부 상황이",1,0,False,True
Q-0001,CASE-700597,1,"1년 미만 근로자가 권고사직을 받고 잔존 연차에 대한 지급 제안을 받았으나, 휴가 지급이 이루어지지 않았습니다.
잔존 연차 휴가를 지급받지 못함으로써 금전적 손실과 법적 권리 침해를 경험하고 있습니다.
잔존 연차 미사용 수당의 지급을 요구합니다.
상시 근로자 5인 이상 사업장에서 근로기준법에 따라 1년 미만 근로자도 개근 시 연차휴가가 발생하며, 이에 대한","월 급여 지급 시 미사용 연차 수당을 지급하는 것이 적절한지 문의
연차 미사용 수당은 연차 휴가권이 소멸된 후 지급되어야 하며, 수당 지급 시 근로자가 연차를 사용할 수 있는 기회가 보장되어야 함
구체적인 조치 요청은 명시되지 않았으나, 연차 미사용 수당 지급 시 근로자의 연차 사용 가능성 보장을 강조
근로기준법 및 관련 판례에 따른 연차 수당 지급 규정과",2,"핵심 쟁점인 연차 미사용 수당 지급과 근로자의 연차 사용 권리 보장은 일치하지만, Query에서는 권고사직 상황과 금전적 손실에 초점을 맞추고 있어 세부 상황이 약간 다릅니다. 과거 민원은 일반적인 연차 수당 지급 규정에 초점을 맞추고 있어 수정 후 활용 가능합니다.",2,"Query와 Chunk 모두 연차 미사용 수당 지급에 대한 문의이며, 관련 법령 및 판례를 언급하고 있습니다. 다만, Query는 권고사직 후 잔존 연차에 대한 지급 문제이고 Chunk는 일반적인 연차 미사용 수당 지급에 대한 내용이므로, 세부 상황이 약간 다릅니다.",2,"핵심 쟁점은 연차 미사용 수당의 지급 여부와 관련된 것으로 일치하지만, 구체적인 상황(권고사직, 잔존 연차의 미지급)은 약간 다름. 그러나 근로기준법 적용 및 근로자 권리 보장에 관한 내용은 동일하게 적용될 수 있어 수정 후 활용 가능.",2,0,False,False
Q-0001,CASE-701005,2,"1년 미만 근로자가 권고사직을 받고 잔존 연차에 대한 지급 제안을 받았으나, 휴가 지급이 이루어지지 않았습니다.
잔존 연차 휴가를 지급받지 못함으로써 금전적 손실과 법적 권리 침해를 경험하고 있습니다.
잔존 연차 미사용 수당의 지급을 요구합니다.
상시 근로자 5인 이상 사업장에서 근로기준법에 따라 1년 미만 근로자도 개근 시 연차휴가가 발생하며, 이에 대한","매년 연차를 다 소진하지 못하고 퇴사하게 되었으며, 특히 연차 촉진제로 인해 부득이하게 근무하게 되었다.
지난 3년 치에 대한 남은 연차 수당을 받지 못한 상태이다.
지난 3년 치에 대한 남은 연차 수당 지급을 요구한다.
상시 근로자 5인 이상 사업장의 근로기준법에 따라 연차유급휴가 발생 기준과 수당 지급 규정에 대한 설명이 포함되어 있으며, 연차 미사용 ",2,"핵심 쟁점인 연차 미사용 수당 지급 요구와 법령 관련성이 일치하지만, Query는 1년 미만 근로자에 초점을 맞추고 있는 반면, Chunk는 3년 치 연차 수당에 초점을 맞추고 있어 세부 상황이 약간 다릅니다. 따라서 수정 후 활용 가능합니다.",2,"쟁점(잔존 연차 미사용 수당 지급)과 법령 카테고리(근로기준법)는 동일하나, Query는 1년 미만 근로자, Chunk는 3년 이상 근로자에 대한 내용으로 세부 상황이 다릅니다. 수정 후 활용 가능합니다.",2,"쟁점과 법령이 일치하지만, Query는 1년 미만 근로자에 관한 것이고 Chunk는 3년 치 연차에 관한 것이므로 세부 상황이 약간 다릅니다. 그러나 두 사례 모두 연차 미사용 수당의 지급을 요구하는 공통점이 있어 수정 후 활용 가능합니다.",2,0,False,True
Q-0001,CASE-700772,2,"1년 미만 근로자가 권고사직을 받고 잔존 연차에 대한 지급 제안을 받았으나, 휴가 지급이 이루어지지 않았습니다.
잔존 연차 휴가를 지급받지 못함으로써 금전적 손실과 법적 권리 침해를 경험하고 있습니다.
잔존 연차 미사용 수당의 지급을 요구합니다.
상시 근로자 5인 이상 사업장에서 근로기준법에 따라 1년 미만 근로자도 개근 시 연차휴가가 발생하며, 이에 대한","만 1년 근무 후 퇴직 시 연차 휴가 일수 계산
사용하지 못한 연차 휴가 일수에 대한 미사용 수당 지급 필요
사용하지 못한 연차 휴가 일수에 대한 통상 임금 기준의 미사용 수당 지급
근로자가 퇴직 시 미사용 연차 휴가에 대한 수당 청구 권리가 있으며, 지급 기준은 통상 임금으로 함.",2,"핵심 쟁점인 미사용 연차 휴가 수당 지급 필요성과 관련 법령은 일치하지만, 현재 민원은 권고사직 상황과 금전적 손실에 초점을 맞추고 있어 세부 상황이 약간 다릅니다. 과거 민원 내용을 바탕으로 수정 후 활용 가능합니다.",2,"Query와 Chunk 모두 미사용 연차 수당 지급에 대한 내용을 다루고 있지만, Query는 1년 미만 근로자의 상황을 구체적으로 언급하고 있는 반면, Chunk는 1년 이상 근무 후 퇴직하는 경우를 다루고 있어 세부 상황에 약간의 차이가 있습니다.",2,"쟁점과 법령이 일치하며, 해결방법(미사용 수당 지급)도 유사하지만, '1년 미만 근로자'라는 세부 상황이 추가되어 있어 약간의 수정이 필요함.",2,0,False,True
Q-0001,CASE-701272,2,"1년 미만 근로자가 권고사직을 받고 잔존 연차에 대한 지급 제안을 받았으나, 휴가 지급이 이루어지지 않았습니다.
잔존 연차 휴가를 지급받지 못함으로써 금전적 손실과 법적 권리 침해를 경험하고 있습니다.
잔존 연차 미사용 수당의 지급을 요구합니다.
상시 근로자 5인 이상 사업장에서 근로기준법에 따라 1년 미만 근로자도 개근 시 연차휴가가 발생하며, 이에 대한","2018년 1월 1일부터 2019년 1월 1일까지 근무한 후 근로계약 만료일인 2019년 1월 1일에 발생한 연차 15개에 대한 수당 지급 여부
퇴직 시 미사용 연차 수당 지급이 법적으로 요구되나, 지급 시기가 퇴직 후 14일 이내인지 명확하지 않음
퇴직 후 14일 이내에 연차 수당 지급 확인 및 필요시 지급 요구
상시 근로자 5인 이상 사업장에서 소정근로",2,"핵심 쟁점인 연차 미사용 수당 지급 문제와 법령 적용 범위는 일치하지만, Query에서는 권고사직 상황과 현재 시점의 휴가 지급 미이행에 초점을 맞추고 있어 세부 상황이 약간 다릅니다. 과거 민원은 퇴직 후 수당 지급에 초점을 맞추고 있어 수정 후 활용 가능합니다.",2,"핵심 쟁점(미사용 연차 수당 지급)과 법령 카테고리(근로기준법)는 동일하나, Query는 1년 미만 근로자의 권고사직 상황이고 Chunk는 근로계약 만료 상황으로 세부 상황이 약간 다릅니다. 수정 후 활용 가능합니다.",2,"쟁점(연차 미사용 수당)과 법령(근로기준법)은 일치하나, 상황(퇴직 vs 잔존 연차의 차이)이 약간 다름. 수정 후 활용 가능.",2,0,False,True
Q-0001,CASE-700545,0,"1년 미만 근로자가 권고사직을 받고 잔존 연차에 대한 지급 제안을 받았으나, 휴가 지급이 이루어지지 않았습니다.
잔존 연차 휴가를 지급받지 못함으로써 금전적 손실과 법적 권리 침해를 경험하고 있습니다.
잔존 연차 미사용 수당의 지급을 요구합니다.
상시 근로자 5인 이상 사업장에서 근로기준법에 따라 1년 미만 근로자도 개근 시 연차휴가가 발생하며, 이에 대한","주휴수당이 근로계약서에 명시된 15시간 미만 근로계약 조건으로 인해 지급되지 않았습니다.
주휴수당 미지급으로 인해 추가적인 임금 손실이 발생했습니다.
주휴수당 지급을 요구합니다. 근로계약서 조건에 따른 주휴수당 미지급 문제 해결을 원합니다.
근로계약서에 15시간 미만 근로계약으로 기재되어 있으나, 실제로는 15시간 이상 근무하고 있으며, 이에 따른 주휴수당",1,"같은 분야인 근로기준법 하의 수당 지급 문제를 다루고 있지만, Query의 쟁점인 '잔존 연차 미사용 수당'과 과거 민원의 '주휴수당'은 직접적으로 일치하지 않으며, 세부 상황이 다르므로 방향성만 참고 가능합니다.",1,"Query는 잔존 연차 미사용 수당 지급 문제이고, Chunk는 주휴수당 미지급 문제로, 쟁점은 다르지만 모두 임금 체불과 관련된 문제이므로 방향성은 참고할 수 있습니다.",2,"쟁점(임금 미지급)과 법령(근로기준법)은 일치하지만, 세부 상황(잔존 연차 vs. 주휴수당)이 약간 다름. 잔존 연차의 경우 근로기준법에 따라 개근 시 발생하므로, 관련 법령을 적용하여 해결 가능.",1,1,False,False
