qid	docid	in_dense	in_bm25	dense_rank	bm25_rank
Q-0001	CASE-500850	1	1	11	40
Q-0001	CASE-500573	1	0	12	0
Q-0001	CASE-701313	1	0	14	0
Q-0001	CASE-700526	1	0	15	0
Q-0001	CASE-501381	1	1	16	31
Q-0001	CASE-500967	1	1	17	22
Q-0001	CASE-700533	1	1	18	14
Q-0001	CASE-700754	1	1	19	18
Q-0001	CASE-700973	1	1	20	23
Q-0001	CASE-700926	1	1	21	30
Q-0001	CASE-501012	1	0	22	0
Q-0001	CASE-701143	1	0	25	0
Q-0001	CASE-701178	1	0	26	0
Q-0001	CASE-701318	1	0	27	0
Q-0001	CASE-701200	1	0	28	0
Q-0001	CASE-701093	1	1	29	20
Q-0001	CASE-700436	1	0	30	0
Q-0001	CASE-700610	1	0	31	0
Q-0001	CASE-500080	1	0	34	0
Q-0001	CASE-700911	1	0	35	0
Q-0001	CASE-500654	1	0	36	0
Q-0001	CASE-501169	1	0	37	0
Q-0001	CASE-701274	1	1	38	41
Q-0001	CASE-501470	1	1	39	26
Q-0001	CASE-700815	1	1	40	32
Q-0001	CASE-701212	1	0	41	0
Q-0001	CASE-700413	1	0	42	0
Q-0001	CASE-700991	1	1	43	27
Q-0001	CASE-500395	1	1	45	36
Q-0001	CASE-501456	1	1	46	49
Q-0001	CASE-701202	1	0	48	0
Q-0001	CASE-700577	1	1	49	9
Q-0001	CASE-701262	1	0	50	0
Q-0001	CASE-700904	0	1	0	12
Q-0001	CASE-700896	0	1	0	21
Q-0001	CASE-701063	0	1	0	28
Q-0001	CASE-700368	0	1	0	29
Q-0001	CASE-700530	0	1	0	33
Q-0001	CASE-701022	0	1	0	34
Q-0001	CASE-700614	0	1	0	35
Q-0001	CASE-700752	0	1	0	37
Q-0001	CASE-700582	0	1	0	38
Q-0001	CASE-700234	0	1	0	39
Q-0001	CASE-700671	0	1	0	42
Q-0001	CASE-701304	0	1	0	43
Q-0001	CASE-700951	0	1	0	44
Q-0001	CASE-500888	0	1	0	45
Q-0001	CASE-700553	0	1	0	46
Q-0001	CASE-700719	0	1	0	47
Q-0001	CASE-701330	0	1	0	48
Q-0001	CASE-001359	0	1	0	50
Q-0002	CASE-002356	1	1	11	32
Q-0002	CASE-001678	1	1	15	46
Q-0002	CASE-002443	1	1	17	12
Q-0002	CASE-001576	1	1	19	48
Q-0002	CASE-001585	1	0	22	0
Q-0002	CASE-001643	1	1	24	47
Q-0002	CASE-002179	1	1	25	26
Q-0002	CASE-002093	1	1	26	27
Q-0002	CASE-002333	1	1	27	38
Q-0002	CASE-001588	1	1	28	22
Q-0002	CASE-002495	1	1	29	45
Q-0002	CASE-002256	1	1	30	33
Q-0002	CASE-001540	1	1	31	39
Q-0002	CASE-001485	1	1	32	30
Q-0002	CASE-002088	1	0	33	0
Q-0002	CASE-002380	1	1	34	11
Q-0002	CASE-001657	1	1	35	15
Q-0002	CASE-001690	1	0	37	0
Q-0002	CASE-002452	1	1	38	24
Q-0002	CASE-001468	1	1	39	28
Q-0002	CASE-001549	1	0	40	0
Q-0002	CASE-002254	1	1	41	36
Q-0002	CASE-001941	1	0	42	0
Q-0002	CASE-001847	1	1	43	31
Q-0002	CASE-001743	1	1	44	43
Q-0002	CASE-002117	1	0	45	0
Q-0002	CASE-002134	1	0	46	0
Q-0002	CASE-001515	1	1	47	17
Q-0002	CASE-002174	1	1	48	37
Q-0002	CASE-002341	1	0	49	0
Q-0002	CASE-001551	1	0	50	0
Q-0002	CASE-002453	0	1	0	19
Q-0002	CASE-002514	0	1	0	20
Q-0002	CASE-002275	0	1	0	25
Q-0002	CASE-001738	0	1	0	34
Q-0002	CASE-001887	0	1	0	40
Q-0002	CASE-001806	0	1	0	42
Q-0002	CASE-001928	0	1	0	44
Q-0002	CASE-001893	0	1	0	49
Q-0002	CASE-002192	0	1	0	50
Q-0003	CASE-300574	1	1	12	46
Q-0003	CASE-301545	1	0	13	0
Q-0003	CASE-301729	1	0	14	0
Q-0003	CASE-300908	1	0	15	0
Q-0003	CASE-600395	1	1	16	31
Q-0003	CASE-301586	1	0	17	0
Q-0003	CASE-301288	1	0	19	0
Q-0003	CASE-301920	1	0	20	0
Q-0003	CASE-300795	1	0	21	0
Q-0003	CASE-302049	1	0	23	0
Q-0003	CASE-30014	1	1	24	14
Q-0003	CASE-300834	1	0	25	0
Q-0003	CASE-301814	1	0	26	0
Q-0003	CASE-300730	1	0	27	0
Q-0003	CASE-300169	1	1	28	23
Q-0003	CASE-301546	1	1	29	37
Q-0003	CASE-301719	1	0	30	0
Q-0003	CASE-300804	1	0	31	0
Q-0003	CASE-300568	1	0	32	0
Q-0003	CASE-300519	1	0	33	0
Q-0003	CASE-300903	1	0	34	0
Q-0003	CASE-700349	1	0	37	0
Q-0003	CASE-300076	1	0	38	0
Q-0003	CASE-301865	1	0	39	0
Q-0003	CASE-300062	1	0	40	0
Q-0003	CASE-301845	1	0	41	0
Q-0003	CASE-301524	1	0	42	0
Q-0003	CASE-300065	1	0	43	0
Q-0003	CASE-301250	1	0	44	0
Q-0003	CASE-300124	1	0	45	0
Q-0003	CASE-700167	1	0	46	0
Q-0003	CASE-300848	1	0	47	0
Q-0003	CASE-301411	1	0	48	0
Q-0003	CASE-300380	1	0	49	0
Q-0003	CASE-301319	0	1	0	12
Q-0003	CASE-301576	0	1	0	15
Q-0003	CASE-300757	0	1	0	16
Q-0003	CASE-300869	0	1	0	17
Q-0003	CASE-301751	0	1	0	18
Q-0003	CASE-501290	0	1	0	20
Q-0003	CASE-300561	0	1	0	22
Q-0003	CASE-300699	0	1	0	24
Q-0003	CASE-000565	0	1	0	25
