review_type,human_score,query_id,chunk_id,original_score,llm_final_score,ex35_score,gem3_score,ax4_score,query_text,chunk_text,ex35_reason,gem3_reason,ax4_reason,human_note
충돌,,Q-0011,CASE-800375,1,1,1,1,3,"▲▲ 술집 건물 내에서 실내 흡연이 심하고, 이로 인해 시민들이 불편을 겪고 있음.
심한 실내 흡연으로 인해 간접흡연 피해 우려와 화재 위험 증가.
주 1회 이상의 금연 지도점검 강화 및 흡연자에 대한 적극적인 계도 및 과태료 부과 조치 요청.
시에서 건물 내 흡연 관리가 필요하며, 현재 주 1회 금연 지도점검이 이루어지고 있으나, 민원인은 이에 대한 추가적인 조치를 요구하고 있음.","길게 뻗은 보행통로 나무 식재 화단 주변에서 흡연이 심하고, 벤치와 화단 주변에서 간접흡연 피해가 발생하고 있음
수많은 보행자가 간접흡연으로 인해 불편함을 겪고 있으며, 특히 밤에는 상황이 더 악화됨
통로 중앙에 유리로 된 흡연 부스 설치
해당 장소는 야외 구간으로 금연 구역이 아니며, 공공장소 흡연 부스 설치에 대한 이용 기피와 안전·청결 문제로 인해 어려움이 있음","민원의 핵심 쟁점인 실내 흡연과 간접흡연 피해, 그리고 금연 관리 강화 요구는 일치하지만, 과거 민원은 야외 공간에 초점을 맞추고 있어 직접적인 인용은 어렵습니다. 방향성은 참고 가능하지만 세부 상황의 차이로 인해 부분적 활용에 그칩니다.","Query는 실내 흡연 문제에 대한 민원이고, Chunk는 야외 흡연 문제에 대한 민원입니다. 흡연이라는 키워드는 동일하지만, 장소와 법령 적용 여부가 달라 직접적인 활용은 어렵습니다.","쟁점(실내 흡연 문제), 법령(금연 관련 법규), 담당부서(보건/환경 부서), 해결방법(금연 지도점검 강화, 계도 및 과태료) 모두 일치하여 그대로 인용 가능.",
충돌,,Q-0012,CASE-500193,1,2,2,2,0,"금리 인상으로 인한 기업 대출 어려움으로 고객사의 제품 구매 결정이 보류되고 있음
고객사의 구매 결정 보류로 인한 매출 감소 우려
제품 가격 인하, 대금 결제 조건 완화 등의 구체적인 지원 방안 제시
고가 제품 판매 기업으로 브랜드 파워와 고품질 제품을 보유하고 있으나, 현재 경제 상황으로 인한 자금 조달 문제로 어려움을 겪고 있음","캠핑카 제조 업체로서 높은 이율의 대부 업체 부채를 보유하고 있음
높은 이자율로 인한 재정적 부담
대부 업체 부채를 낮은 이율의 대출로 전환하거나 추가 대출을 통한 상환 방안 제시
업체의 업력과 인정받은 기술력에도 불구하고 신용등급과 매출액으로 인해 금융기관의 대출 승인에 어려움이 있음, 자가 공장 부지 가치를 고려한 담보 대출 가능성 제시","핵심 쟁점인 재정적 부담과 금리 인상으로 인한 어려움은 일치하지만, 민원은 기업 대출과 매출 감소에 초점을 맞추고 있는 반면, 과거 민원은 주로 캠핑카 제조업체의 부채 전환과 담보 대출에 집중하고 있어 세부 상황이 약간 다릅니다. 따라서 수정 후 활용 가능합니다.","핵심 쟁점(금리 인상으로 인한 대출 어려움 및 매출 감소 우려)과 법령 카테고리(금융 관련)는 동일하나, 구체적인 상황(제품 구매 결정 보류 vs 캠핑카 제조 업체 부채)이 달라 수정 후 활용 가능합니다. 고객사의 상황에 맞는 구체적인 지원 방안 제시 부분은 차이가 있","두 민원의 쟁점과 상황이 완전히 다르며, 직접적인 연관성이 없음",
2점차이,,Q-0009,CASE-300842,3,1,1,1,0,"성능 점검 기준일에 대한 문의, 특히 최초 점검 후 다음 해의 성능 점검 기준일이 건물 완공일 기준인지 유예기간 적용 기준인지 불명확함
null
다음 해 성능 점검 기준일이 건물 완공일 기준인지, 아니면 유예기간 적용 기준인지 구체적인 규정 확인 요청
민원인은 중급 건물의 경우 유예기간이 적용되는 상황에서 다음 해 성능 점검 기준일이 어떻게 결정되는지에 대해 궁금해함, 관련 법규는 「기계설비 유지관리기준」에 따름","학교의 연면적과 개별 건물의 크기에 따른 기계설비 성능점검 기준일 적용 방법에 대한 불명확성
현재 명확한 기준일 적용 방법이 제시되지 않아 혼란이 있음
연면적 3만㎡ 이상 학교 내 연면적 1만㎡ 이상 건물에 대한 정확한 성능점검 기준일 적용 지침 제공
건축물의 크기 변화(개축 등)에 따른 성능점검 의무 여부와 구체적인 법적 기준에 대한 문의 포함","민원과 과거 민원 모두 기계설비 성능점검 기준일에 대한 불명확성을 다루고 있지만, 민원인의 경우 중급 건물의 유예기간 적용에 초점을 맞추고 있는 반면, 과거 민원은 학교 연면적과 개별 건물 크기에 따른 적용 방법에 집중하고 있어 직접적인 인용은 어렵지만 방향성을 제공함","Query는 건물 완공일 기준인지 유예기간 적용 기준인지에 대한 성능 점검 기준일 문의이고, Chunk는 학교 건물 크기에 따른 성능점검 기준일 적용 방법에 대한 문의로, 같은 분야이지만 직접적인 관련성은 낮습니다. Chunk는 Query 방향성에 참고할 수 있는 정보","기준 민원은 건물 완공일과 유예기간에 관한 것이며, 과거 민원은 학교 건물의 연면적과 성능점검 기준일에 관한 것으로 두 사안은 다른 분야와 상황에 속합니다.",
2점차이,,Q-0014,CASE-002139,3,1,1,2,1,"고객이 국립 아시아 문화 전당의 '우산 도둑' 공연을 예매하려고 시도하고 있음
현재 예매 과정에서 할인 혜택 적용에 대한 혼란이 있으며, 정확한 좌석 지정 여부와 티켓 소지 여부에 대한 확인이 필요함
문화 누리 카드를 통한 50% 할인 예매 진행 및 ARS를 통한 카드 결제 정보 입력 안내
고객은 어른 2명과 유아 1명을 위한 예매를 원하며, 이전에 전당을 이용한 경험이 있어 할인 혜택을 받을 자격이 있음을 언급함","문화 누리 카드로 뮤지컬 '빨래' 3월 24일 2시 타임 2매 예매 과정에서 개인 정보 제공에 어려움을 겪음
예매 과정에서 일시적인 혼란이 있었으나 최종적으로 2매 예매 완료 및 50% 할인 결제 완료
개인 정보 제공 과정의 명확한 안내 제공
문화 행사 예매 시 문화 누리 카드 사용자의 개인 정보 입력 절차에 대한 명확한 안내 필요성","문화 행사 예매와 문화 누리 카드 할인 혜택 적용이라는 핵심 쟁점은 일치하지만, 구체적인 공연('우산 도둑')과 시간대, 좌석 지정 및 티켓 소지 관련 세부 사항이 과거 민원과 일치하지 않아 직접 인용은 어렵습니다.","쟁점(예매 과정의 혼란, 할인 혜택 적용)과 법령(문화 누리 카드 할인) 카테고리는 동일하나, 구체적인 공연 및 좌석 지정, 티켓 소지 여부 등 세부 상황이 다르므로 수정 후 활용 가능합니다.","두 민원은 모두 문화 누리 카드를 통한 할인 예매와 관련되어 있으나, 구체적인 공연명과 좌석 지정 여부 등 세부 사항이 다릅니다. 따라서 직접적인 인용이 불가능하지만, 문화 누리 카드의 할인 혜택 적용과 관련된 절차 및 문제 해결 방향에 대한 참고가 가능합니다.",
2점차이,,Q-0020,CASE-002115,3,1,1,1,2,"저장된 비밀번호로 로그인 시도 실패 및 비밀번호 찾기 기능 사용 후에도 로그인 불가
현재 비밀번호로 로그인 불가 및 임시 비밀번호 수신 불가
임시 비밀번호 수신을 위한 개인정보 수신 동의 및 임시 비밀번호 전송
회원 가입 후 비밀번호 변경 이력 없음, 주소 변경 이력 존재","브런치 콘서트 예약 과정에서 비밀번호 입력 오류 메시지가 지속적으로 나타나고, 임시 비밀번호를 통해 로그인 후에도 회원 정보 수정이 복잡하게 이루어져 있음.
고객은 비밀번호 변경 과정에서 혼란을 겪고 있으며, 문제의 원인을 명확히 파악하지 못하고 있음.
간편한 회원 정보 수정 방법 안내 및 비밀번호 문제 해결을 위한 지원 요청.
고객은 이전에 디폴트 번호를 사용해 왔지만 갑자기 비밀번호 오류 메시지가 나타나기 시작했으며, 이는 휴대폰이나 시스템 문제일 가능성도 제기됨.","비밀번호 관련 문제와 회원 정보 수정 어려움이라는 핵심 쟁점은 일치하지만, 구체적인 상황과 해결 방법이 다르며 직접 인용하기 어렵습니다.","Query는 저장된 비밀번호 로그인 실패 및 임시 비밀번호 관련 문제이고, Chunk는 브런치 콘서트 예약 과정에서의 비밀번호 오류 및 회원 정보 수정 문제에 대한 내용으로, 쟁점 분야는 유사하지만 구체적인 해결 방법이나 법령 관련 내용은 일치하지 않아 낮은 점수를 부","쟁점과 법령이 유사하지만 세부 상황이 약간 다름. 로그인 실패와 임시 비밀번호 관련 문제는 두 민원에 공통적으로 존재하며, 해결 방법(회원 정보 수정 및 지원 요청)도 일치함.",
2점차이,,Q-0020,CASE-001875,3,1,1,1,2,"저장된 비밀번호로 로그인 시도 실패 및 비밀번호 찾기 기능 사용 후에도 로그인 불가
현재 비밀번호로 로그인 불가 및 임시 비밀번호 수신 불가
임시 비밀번호 수신을 위한 개인정보 수신 동의 및 임시 비밀번호 전송
회원 가입 후 비밀번호 변경 이력 없음, 주소 변경 이력 존재","강좌 신청 과정에서 아이디로 로그인 시도 시 회원 정보가 없다는 메시지가 발생함
현재 강좌 신청이 불가능한 상태로 로그인 실패
임시 비밀번호 재발송 및 회원 정보 확인 조치
고객은 이미 아이디를 확인하고 임시 비밀번호를 받았으나 로그인에 실패하였으며, 이전에 정상적으로 가입되었음을 주장함","비밀번호 로그인 및 임시 비밀번호 관련 문제는 유사하지만, 강좌 신청과 회원 정보 확인 등 세부 상황이 다르므로 직접 인용은 어렵지만 방향성을 참고할 수 있습니다.","Query는 로그인 및 비밀번호 관련 문제이고, Chunk는 강좌 신청 과정에서의 로그인 실패를 다루고 있어 직접적인 관련성은 낮습니다. 다만, 로그인 실패 및 임시 비밀번호 관련 내용은 일부 방향성을 제시할 수 있어 1점으로 평가합니다.","쟁점과 법령이 유사하지만 세부 상황이 다릅니다. 두 민원 모두 로그인 실패와 관련된 문제이며, 임시 비밀번호 관련 조치가 포함됩니다. 그러나 기준 민원은 비밀번호 찾기 기능이 작동하지 않는 상황을 다루고 있어 약간의 수정이 필요합니다.",
2점차이,,Q-0020,CASE-002511,0,2,2,2,2,"저장된 비밀번호로 로그인 시도 실패 및 비밀번호 찾기 기능 사용 후에도 로그인 불가
현재 비밀번호로 로그인 불가 및 임시 비밀번호 수신 불가
임시 비밀번호 수신을 위한 개인정보 수신 동의 및 임시 비밀번호 전송
회원 가입 후 비밀번호 변경 이력 없음, 주소 변경 이력 존재","회원가입 후 로그인이 되지 않고, 휴대폰 및 이메일 인증 모두 실패함. 이전에 가입한 계정이 현재 확인되지 않음.
로그인 불가 및 계정 확인 불가로 인한 서비스 이용 불가
이전 계정 확인 및 로그인 문제 해결을 위한 조치 요청
이전에 네이버를 통해 가입 후 계정 삭제 후 다시 가입 시도하였으나, 여전히 로그인 및 인증 문제 발생. 메일 주소 오류 가능성 제기.","핵심 쟁점인 로그인 불가와 계정 관련 문제는 일치하지만, 세부 상황이 다릅니다. 과거 민원은 네이버를 통한 가입과 계정 삭제 경험을 언급하고 있어, 현재 민원의 상황과 완전히 일치하지 않으나 해결 방향성을 제공합니다.","Query와 Chunk 모두 로그인 불가 문제를 다루고 있으며, 인증 실패 및 계정 확인 불가 상황을 공유하고 있습니다. 다만, Chunk는 네이버 계정 연동 및 계정 삭제 후 재가입 시도 등 Query에 없는 추가적인 내용을 포함하고 있어 2점으로 평가합니다.","쟁점과 법령이 유사하지만 세부 상황이 약간 다름. 두 민원 모두 로그인 문제와 관련되어 있으며, 계정 확인과 관련된 조치가 필요함.",
2점차이,,Q-0022,CASE-600416,0,2,2,2,2,"2차선 도로 양쪽으로 불법 주정차 되어 있어 차량 통행이 어려움, 특히 수련관 및 센터 이용 차량으로 인해 통행 방해가 심함
차량 통행 지연 및 대기 시간 증가
평일 낮과 저녁 시간대 단속 실시 또는 한 쪽 면에만 주정차 허용 표지판 설치 검토
저녁에는 주차 공간 부족으로 한쪽 주차가 가능하지만, 평일 낮과 저녁 시간대에는 단속 필요성 제기, 주민 협의를 통한 주정차 허용 구역 검토 제안","저녁 18시~20시 사이에 주차된 차량들로 인해 통행이 어려워지고, 교차로 중간에 차량이 걸쳐있는 경우가 많으며, 근처 공영주차장에도 불법주차가 많이 발생하고 있습니다.
불법주차로 인해 교통 혼잡이 발생하고 안전한 통행이 어렵습니다.
해당 골목의 주정차 단속을 강화하여 차량 주차를 제한해 달라는 요청과 시민들이 안전신문고 앱을 통해 불법주차를 신고할 수 있는 시간 및 촬영 간격에 대한 정보 제공 요청.
주차단속 카메라가 설치되어 있지만 단속 시간 외 불법주차 문제가 지속되고 있으며, 시민들이 직접 신고할 수 있는 절차와 시간에 대한 명확한 안내가 필요합니다.","핵심 쟁점인 불법 주정차로 인한 교통 혼잡과 안전 문제는 일치하지만, 시간대별 단속 필요성과 구체적인 해결 방안(한쪽 면 주차 허용 표지판 설치)은 과거 민원과 약간 차이가 있어 수정 후 활용 가능합니다.","Query와 Chunk 모두 불법 주정차로 인한 차량 통행 불편 문제를 다루고 있으며, 단속 강화 및 시민 신고 절차에 대한 요청이 유사합니다. 다만, Chunk는 공영주차장 불법주차 및 단속 카메라 설치 관련 내용이 추가되어 있어 Query와 완전히 일치하지 않습니다",쟁점과 법령이 유사하지만 세부 상황이 약간 다름. 주정차 단속의 필요성과 시민 신고 절차에 대한 정보가 포함되어 있어 Query에 일부 활용 가능.,
2점차이,,Q-0024,CASE-500666,3,1,1,1,2,"육계 영농조합법인이 농장 생산단계 HACCP 시스템 도입을 요구하고 있으나, 구체적인 적용 원칙과 절차에 대한 자세한 안내가 필요함.
현재 명확한 적용 절차와 단계에 대한 이해 부족으로 인해 HACCP 시스템 도입에 어려움을 겪고 있음.
육계 영농조합법인에 대한 농장 생산단계 HACCP 시스템의 구체적인 적용 원칙과 단계별 절차에 대한 상세 안내 요청.
영농조합법인은 안전한 식품 생산을 위해 HACCP 인증을 추구하고 있으며, Codex의 HACCP 적용 순서를 기반으로 한 체계적인 도입 방법에 대한 정보가 필요함.","HACCP 인증 준비 과정에서 잠재 위해요소 분석 방법에 대한 이해 부족
현재 구체적인 분석 방향이나 지침을 모르고 있음
잠재 위해요소 분석을 위한 구체적인 단계와 고려사항 안내 요청
식품 제조 및 가공 공정에서 안전성 확보를 위한 HACCP 인증 준비 중","HACCP 인증과 관련된 주제는 일치하지만, Query는 주로 농장 생산단계의 구체적인 적용 원칙과 절차에 초점을 맞추고 있는 반면, Chunk는 잠재 위해요소 분석에 중점을 두고 있어 직접적인 인용은 어렵지만 방향성을 제공함.","Query는 육계 영농조합법인의 HACCP 시스템 도입 절차에 대한 구체적인 안내를 요청하고 있지만, Chunk는 HACCP 인증 준비 과정 중 잠재 위해요소 분석 방법에 대한 어려움을 호소하고 있어 직접적인 관련성은 낮습니다. 다만, HACCP 시스템 도입과 잠재위해","두 민원은 모두 HACCP 시스템 도입과 관련된 것으로, 쟁점과 법령이 일치합니다. 그러나 Query는 농장 생산단계에 초점을 맞추고 있고, Chunk는 제조 및 가공 공정에 초점을 맞추고 있어 세부 상황이 약간 다릅니다. 따라서 수정 후 활용 가능합니다.",
2점차이,,Q-0027,CASE-301995,3,1,1,1,1,"건설기계 번호판 봉인의 정확한 위치가 건설기계관리법 및 시행규칙에 명시되어 있지 않음. 자동차관리법의 준용 여부와 봉인 위치에 대한 의문 제기
현재 명확한 규정 부재로 인한 혼란 및 불명확한 봉인 위치
건설기계 번호판 봉인 위치에 대한 명확한 규정 마련 요청
건설기계관리법과 자동차관리법 간의 적용 차이 및 관련 법규의 해석에 대한 민원인의 의문","후부안전판의 법적 분류에 대한 불명확성
지자체별로 상이한 과태료 처분 (30만 원 또는 3만 원)
후부안전판이 건설기계관리법 시행령 제10조의2 제2항의 몇 호에 정확히 해당하는지 명확한 규정 요청
건설기계 안전기준과 관련 법규 해석의 차이로 인한 지자체별 과태료 차이 발생","민원과 과거 민원 모두 건설기계 관련 법규 해석과 적용에 대한 의문을 공유하지만, 구체적으로 번호판 봉인 위치에 대한 직접적인 정보나 일치하는 세부 사항은 부족하여 직접 인용은 어렵습니다.","Query는 건설기계 번호판 봉인 위치와 관련 법규 해석에 대한 질문이지만, Chunk는 후부안전판의 법적 분류 및 지자체별 과태료 차이에 대한 내용으로, 직접적인 관련성이 낮습니다. 건설기계 안전기준 관련 법규 해석 차이라는 점에서 방향성은 참고할 수 있습니다.","두 민원은 모두 건설기계의 법적 규제와 관련된 문제를 다루고 있으며, 특히 법령의 해석 차이에 따른 행정적 차이를 언급하고 있습니다. 그러나 Query는 번호판 봉인 위치에 대한 명확한 규정을 요청하는 반면, Chunk는 후부안전판의 법적 분류와 과태료 처분의 차이에 ",
